Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
29.75, 29.504005432128906, -21.31612205505371, 0.0, 59.99778366088867, 60.00511169433594, 60.00920104980469, -0.005780223291367292, -0.0032549535389989614, -0.006634042132645845, 29.805400848388672
30.0, 22.403053283691406, -16.332178115844727, 0.0, 59.99661636352539, 60.00625991821289, 60.25790786743164, -0.002289535477757454, -0.0025759360287338495, -0.0018850996857509017, 30.055999755859375
30.25, 18.489198684692383, -13.500239372253418, 0.0, 59.99771499633789, 60.00563430786133, 60.00920104980469, -0.0003274032787885517, -0.0010633340571075678, 0.00020059067173860967, 30.304399490356445
30.5, 16.339296340942383, -11.902771949768066, 0.0, 59.999366760253906, 60.004478454589844, 60.00920104980469, 0.0002727619430515915, -0.000329496426275, 0.0006738321390002966, 30.553600311279297
30.75, 3.8724920749664307, -1.91234290599823, 0.0, 60.001522064208984, 60.00289535522461, 60.009517669677734, -0.02021108567714691, -0.020087555050849915, -0.019426722079515457, 30.80299949645996
31.0, 6.814002990722656, -2.2694060802459717, 0.0, 60.00633239746094, 59.99843215942383, 60.00920104980469, 0.009068517945706844, 0.00725775258615613, 0.00958222709596157, 31.054399490356445
31.25, 11.967794418334961, -7.255455017089844, 0.0, 60.007205963134766, 59.997528076171875, 60.00920104980469, 0.003673542058095336, 0.004140450153499842, 0.003163972869515419, 31.303800582885742
31.5, 15.248636245727539, -10.141951560974121, 0.0, 60.0063362121582, 59.99827575683594, 60.00920104980469, 0.0013108423445373774, 0.002051448216661811, 0.0007866549422033131, 31.55780029296875
31.75, 16.965253829956055, -11.489335060119629, 0.0, 60.005027770996094, 59.999420166015625, 60.00920104980469, 0.0007867630920372903, 0.0013947197003290057, 0.00039949611527845263, 31.80660057067871
32.0, 38.833106994628906, -28.64756965637207, 0.0, 60.00123596191406, 60.00235366821289, 60.00920104980469, 0.033298518508672714, 0.03840119019150734, 0.029328135773539543, 32.056400299072266
32.25, 26.21160316467285, -19.30600357055664, 0.0, 59.99674606323242, 60.00596618652344, 60.083560943603516, -0.004846726078540087, -0.0038272086530923843, -0.004968004301190376, 32.30339813232422
32.5, 20.704822540283203, -15.184565544128418, 0.0, 59.996768951416016, 60.0062141418457, 60.00920104980469, -0.0012172500137239695, -0.0017915081698447466, -0.000693483161740005, 32.55440139770508
32.75, 17.75143051147461, -12.794431686401367, 0.0, 59.99821853637695, 60.005287170410156, 60.00920104980469, -6.164712249301374e-05, -0.0007691869395785034, 0.00043796657701022923, 32.805198669433594
33.0, 16.131669998168945, -11.439851760864258, 0.0, 59.99988555908203, 60.004093170166016, 60.00920104980469, 0.00026073085609823465, -0.0002666396030690521, 0.0006133933202363551, 33.05580139160156
33.25, 2.904505491256714, 1.0309470891952515, -0.0, 60.00348663330078, 60.001190185546875, 60.00920104980469, -0.0018167350208386779, -0.004802676849067211, 0.00010521025251364335, 33.30759811401367
33.5, 9.188048362731934, -4.439682960510254, 0.0, 60.00693130493164, 59.997825622558594, 60.00920104980469, 0.004866369068622589, 0.004395788535475731, 0.0048299976624548435, 33.56460189819336
33.75, 13.321142196655273, -8.28414249420166, 0.0, 60.00701141357422, 59.99768829345703, 60.00920104980469, 0.0020913169719278812, 0.00277323997579515, 0.001544146565720439, 33.805599212646484
34.0, 15.900359153747559, -10.560295104980469, -0.0, 60.005916595458984, 59.99864196777344, 60.00920104980469, 0.0010096078040078282, 0.0017536113737151027, 0.0005281475023366511, 34.05619812011719
34.25, 17.368303298950195, -11.817948341369629, 0.0, 60.004581451416016, 59.99980545043945, 60.00920104980469, 0.0006798312533646822, 0.0012383033754304051, 0.00033953649108298123, 34.30619812011719
34.5, 32.42291259765625, -23.538314819335938, 0.0, 59.998722076416016, 60.00432205200195, 60.10959243774414, -0.0045513492077589035, -0.00044169730972498655, -0.006187938619405031, 34.55379867553711
34.75, 23.857542037963867, -17.436010360717773, 0.0, 59.996456146240234, 60.006282806396484, 60.15066909790039, -0.0035902000963687897, -0.0034973425790667534, -0.003294543595984578, 34.8047981262207
